"","Location","date","cumulative_total_cases","daily_new_cases","active_cases","cumulative_total_deaths","daily_new_deaths","PopTotal"
"1","Afghanistan",2021-12-02,157403,32,9496,7311,2,38041757
"2","Albania",2021-12-02,200639,466,6633,3104,3,2880913
"3","Algeria",2021-12-02,210921,198,60085,6083,7,43053054
"4","Andorra",2021-12-02,17658,232,1447,132,1,77146
"5","Angola",2021-12-02,65208,25,210,1735,0,31825299
"6","Anguilla",2021-12-02,1414,28,88,3,0,14872
"8","Argentina",2021-12-02,5335310,2681,22597,116617,20,44780675
"9","Armenia",2021-12-02,339578,558,13466,7631,21,2957728
"10","Aruba",2021-12-02,16392,20,188,174,0,106310
"11","Australia",2021-12-02,213360,1706,15653,2021,10,25203200
"12","Austria",2021-12-02,1179244,8882,130066,12625,72,8955108
"13","Azerbaijan",2021-12-02,591885,1772,25161,7905,21,10047719
"14","Bahamas",2021-12-02,22809,7,510,685,8,389486
"15","Bahrain",2021-12-02,277752,31,319,1394,0,1641164
"16","Bangladesh",2021-12-02,1576827,261,7180,27986,3,163046173
"17","Barbados",2021-12-02,25627,198,2764,233,2,287021
"18","Belarus",2021-12-02,658328,1818,7110,5114,16,9452409
"19","Belgium",2021-12-02,1786444,20409,413444,27072,57,11539326
"20","Belize",2021-12-02,30618,101,1093,578,0,390351
"21","Benin",2021-12-02,24863,0,156,161,0,11801151
"22","Bermuda",2021-12-02,5751,3,30,106,0,62508
"23","Bhutan",2021-12-02,2640,0,14,3,0,763094
"26","Botswana",2021-12-02,195302,234,431,2419,1,2303703
"27","Brazil",2021-12-02,22118782,12910,152052,615225,205,211049519
"28","British Virgin Islands",2021-12-02,2809,0,0,38,0,30033
"29","Brunei Darussalam",2021-12-02,15132,21,428,98,1,433296
"30","Bulgaria",2021-12-02,699180,2018,103606,28656,114,7000117
"31","Burkina Faso",2021-12-02,16000,0,369,286,0,20321383
"32","Burundi",2021-12-02,20432,17,19621,38,0,11530577
"33","Cabo Verde",2021-12-02,38405,12,96,350,0,549936
"34","Cambodia",2021-12-02,120183,23,686,2949,5,16486542
"35","Cameroon",2021-12-02,107148,354,2628,1804,13,25876387
"36","Canada",2021-12-02,1798872,3243,26611,29737,23,37411038
"38","Cayman Islands",2021-12-02,7444,120,3867,7,1,64948
"39","Central African Republic",2021-12-02,11742,34,4782,101,0,4745179
"40","Chad",2021-12-02,5701,0,646,181,0,15946882
"41","Channel Islands",2021-12-02,18656,255,2294,104,0,172264
"42","Chile",2021-12-02,1766493,2219,68319,38403,47,18952035
"43","China",2021-12-02,98897,73,906,4636,0,1433783692
"46","Colombia",2021-12-02,5074079,2262,31515,128643,57,50339443
"47","Comoros",2021-12-02,4521,13,67,150,0,850891
"48","Congo",2021-12-02,18970,0,6195,354,0,5380504
"49","Costa Rica",2021-12-02,567263,304,9425,7309,4,5047561
"51","Croatia",2021-12-02,619255,5341,32603,11043,76,4130299
"52","Cuba",2021-12-02,962778,150,751,8305,0,11333484
"54","Cyprus",2021-12-02,135503,538,10535,598,0,1198574
"57","Denmark",2021-12-02,497201,4680,91171,2912,3,5771877
"58","Djibouti",2021-12-02,13505,1,24,187,1,973557
"59","Dominica",2021-12-02,6120,92,369,39,1,71808
"60","Dominican Republic",2021-12-02,407629,155,2583,4210,0,10738957
"61","Ecuador",2021-12-02,526870,0,49740,33250,0,17373657
"62","Egypt",2021-12-02,360435,919,40976,20594,57,100388076
"63","El Salvador",2021-12-02,119803,0,13042,3779,1,6453550
"64","Equatorial Guinea",2021-12-02,13599,7,78,175,0,1355982
"65","Eritrea",2021-12-02,7412,19,209,60,0,3497117
"66","Estonia",2021-12-02,223688,520,16584,1808,5,1325649
"67","Ethiopia",2021-12-02,371803,131,15713,6784,13,112078727
"70","Fiji",2021-12-02,52541,9,738,697,0,889955
"71","Finland",2021-12-02,189730,1622,142374,1356,8,5532159
"72","France",2021-12-02,7773530,48416,512924,119330,103,65129731
"73","French Guiana",2021-12-02,46094,34,34512,328,0,290823
"74","French Polynesia",2021-12-02,46321,2,0,636,0,279285
"75","Gabon",2021-12-02,37342,0,4767,279,0,2172578
"76","Gambia",2021-12-02,9992,0,10,342,0,2347696
"77","Georgia",2021-12-02,853833,3731,45189,12191,72,3996762
"78","Germany",2021-12-02,6026796,73486,944187,102909,357,83517046
"79","Ghana",2021-12-02,130920,0,669,1209,0,30417858
"80","Gibraltar",2021-12-02,7323,31,403,98,0,33706
"81","Greece",2021-12-02,951351,6256,76448,18325,91,10473452
"82","Greenland",2021-12-02,1542,86,386,0,0,56660
"83","Grenada",2021-12-02,5898,1,74,200,0,112002
"84","Guadeloupe",2021-12-02,55284,0,52286,748,0,400048
"85","Guatemala",2021-12-02,618727,291,1289,15967,11,17581476
"86","Guinea",2021-12-02,30770,0,658,387,0,12771246
"88","Guyana",2021-12-02,38027,76,1138,998,1,782775
"89","Haiti",2021-12-02,25351,0,3102,746,0,11263079
"90","Holy See",2021-12-02,27,0,0,0,0,815
"91","Honduras",2021-12-02,378046,70,246439,10412,3,9746115
"92","Hungary",2021-12-02,1124726,10466,187795,34931,218,9684680
"93","Iceland",2021-12-02,18198,143,1566,35,0,339037
"94","India",2021-12-02,34615757,9216,108588,470115,391,1366417756
"95","Indonesia",2021-12-02,4256998,311,7796,143850,10,270625567
"97","Iraq",2021-12-02,2082774,713,11649,23859,15,39309789
"98","Ireland",2021-12-02,578064,4159,124216,5707,0,4882498
"100","Israel",2021-12-02,1344668,565,5406,8199,0,8519373
"101","Italy",2021-12-02,5060415,16791,208856,134003,72,60550092
"102","Jamaica",2021-12-02,91304,32,26200,2402,6,2948277
"103","Japan",2021-12-02,1727430,126,849,18362,2,126860299
"104","Jordan",2021-12-02,963655,4665,57917,11661,28,10101697
"105","Kazakhstan",2021-12-02,973045,753,21994,12716,13,18551428
"106","Kenya",2021-12-02,255260,96,1549,5335,0,52573967
"107","Kuwait",2021-12-02,413419,36,291,2465,0,4207077
"108","Kyrgyzstan",2021-12-02,183460,56,2304,2752,3,6415851
"110","Latvia",2021-12-02,255402,712,11705,4232,19,1906740
"111","Lebanon",2021-12-02,674000,1452,30953,8745,10,6855709
"112","Lesotho",2021-12-02,21807,0,7437,663,0,2125267
"113","Liberia",2021-12-02,5824,0,14,287,0,4937374
"114","Libya",2021-12-02,373739,529,18024,5476,10,6777453
"115","Liechtenstein",2021-12-02,4752,56,386,62,1,38020
"116","Lithuania",2021-12-02,474314,1943,28115,6791,23,2759631
"117","Luxembourg",2021-12-02,90336,570,4921,879,3,615730
"119","Madagascar",2021-12-02,44330,0,448,967,0,26969306
"120","Malawi",2021-12-02,61936,10,822,2307,1,18628749
"121","Malaysia",2021-12-02,2644027,5806,62253,30521,47,31949789
"122","Maldives",2021-12-02,91893,143,1729,251,0,530957
"123","Mali",2021-12-02,17572,72,1762,611,1,19658023
"124","Malta",2021-12-02,39668,138,1683,468,0,440377
"125","Marshall Islands",2021-12-02,4,0,0,0,0,58791
"126","Martinique",2021-12-02,45501,0,44679,718,0,375557
"127","Mauritania",2021-12-02,39408,69,873,835,0,4525698
"128","Mauritius",2021-12-02,21760,105,1382,455,0,1269670
"129","Mayotte",2021-12-02,20973,0,17824,185,0,266153
"130","Mexico",2021-12-02,3891218,3345,348778,294428,182,127575529
"131","Micronesia",2021-12-02,1,0,0,0,0,543483
"133","Monaco",2021-12-02,3820,23,144,36,0,38967
"134","Mongolia",2021-12-02,382523,441,67259,2008,3,3225166
"135","Montenegro",2021-12-02,157869,258,2418,2314,4,627988
"136","Montserrat",2021-12-02,44,0,2,1,0,4991
"137","Morocco",2021-12-02,950223,135,2876,14782,3,36471766
"138","Mozambique",2021-12-02,151652,58,173,1941,0,30366043
"139","Myanmar",2021-12-02,523346,521,5478,19120,9,54045422
"140","Namibia",2021-12-02,129324,81,251,3573,0,2494524
"141","Nepal",2021-12-02,821949,298,7045,11535,6,28608715
"142","Netherlands",2021-12-02,2684734,23043,537196,19524,65,17097123
"143","New Caledonia",2021-12-02,12195,10,309,276,0,282757
"144","New Zealand",2021-12-02,11895,172,6147,44,0,4783062
"145","Nicaragua",2021-12-02,17254,0,12819,210,0,6545503
"146","Niger",2021-12-02,7056,49,120,261,2,23310719
"147","Nigeria",2021-12-02,214317,47,3982,2978,0,200963603
"148","Norway",2021-12-02,275763,4140,185718,1093,0,5378859
"149","Oman",2021-12-02,304581,9,447,4113,0,4974992
"150","Pakistan",2021-12-02,1285631,377,14168,28745,8,216565317
"151","Panama",2021-12-02,478275,285,2704,7370,3,4246440
"152","Papua New Guinea",2021-12-02,35354,117,561,550,4,8776119
"153","Paraguay",2021-12-02,463199,78,796,16475,1,7044639
"154","Peru",2021-12-02,2239421,1579,0,201282,73,32510462
"155","Philippines",2021-12-02,2833334,425,15402,48752,40,108116622
"156","Poland",2021-12-02,3596487,27352,445613,84656,502,37887771
"157","Portugal",2021-12-02,1154817,2898,57638,18471,13,10226178
"158","Qatar",2021-12-02,243758,151,2086,611,0,2832071
"160","Romania",2021-12-02,1781957,1149,33894,56707,58,19364558
"162","Rwanda",2021-12-02,100381,19,53516,1343,0,12626938
"164","Saint Helena",2021-12-02,2,0,0,0,0,6061
"166","Saint Lucia",2021-12-02,13017,0,112,280,0,182795
"170","Samoa",2021-12-02,3,0,0,0,0,197093
"171","San Marino",2021-12-02,5979,0,276,93,0,33864
"173","Saudi Arabia",2021-12-02,549810,24,2005,8839,2,34268529
"174","Senegal",2021-12-02,73996,6,16,1886,1,16296362
"175","Serbia",2021-12-02,1259005,1980,47794,11792,48,8772228
"176","Seychelles",2021-12-02,23537,0,498,127,0,97741
"177","Sierra Leone",2021-12-02,6402,0,0,121,0,7813207
"178","Singapore",2021-12-02,267150,1101,11291,735,9,5804343
"180","Slovakia",2021-12-02,697471,7853,111544,14606,103,5457012
"181","Slovenia",2021-12-02,425298,2135,33585,5255,15,2078654
"182","Solomon Islands",2021-12-02,20,0,0,0,0,669821
"183","Somalia",2021-12-02,23016,0,9643,1327,0,15442906
"184","South Africa",2021-12-02,2988148,11535,47328,89915,44,58558267
"186","South Sudan",2021-12-02,12758,0,162,133,0,11062114
"187","Spain",2021-12-02,5189220,14500,175120,88122,42,46736782
"188","Sri Lanka",2021-12-02,565471,738,9948,14399,27,21323734
"190","Sudan",2021-12-02,43489,260,4834,3164,5,42813237
"191","Suriname",2021-12-02,50882,34,20139,1169,2,581363
"193","Sweden",2021-12-02,1212145,2202,36736,15136,1,10036391
"194","Switzerland",2021-12-02,1034892,8733,158399,11603,16,8591361
"197","Tajikistan",2021-12-02,17095,0,5,124,0,9321023
"199","Thailand",2021-12-02,2125729,4971,73728,20845,33,69625581
"201","Togo",2021-12-02,26282,9,121,243,0,8082359
"202","Tonga",2021-12-02,1,0,0,0,0,104497
"204","Tunisia",2021-12-02,717908,198,1228,25381,5,11694721
"205","Turkey",2021-12-02,8839891,21747,389883,77230,192,83429607
"207","Uganda",2021-12-02,127551,0,26732,3252,0,44269587
"209","Ukraine",2021-12-02,3463872,13531,381088,87057,525,43993643
"210","United Arab Emirates",2021-12-02,742109,0,2937,2148,0,9770526
"211","Uruguay",2021-12-02,400275,309,2263,6132,1,3461731
"213","Uzbekistan",2021-12-02,193633,209,1919,1409,3,32981715
"214","Vanuatu",2021-12-02,6,0,2,1,0,299882
"216","Viet Nam",2021-12-02,1266288,13698,235320,25658,210,96462108
"218","Western Sahara",2021-12-02,10,0,1,1,0,582458
"219","Yemen",2021-12-02,10011,5,1161,1950,0,29161922
"220","Zambia",2021-12-02,210220,25,128,3667,0,17861034
"221","Zimbabwe",2021-12-02,136379,1042,2843,4707,0,14645473
