"","Location","PopTotal"
"70","Afghanistan",38041757
"954","Africa",1308064176
"1838","African Group",1306320572
"1989","African Union",1306903030
"2140","African Union: Central Africa",154013705
"2291","African Union: Eastern Africa",382531219
"2442","African Union: Northern Africa",203493226
"2593","African Union: Southern Africa",179956492
"2744","African Union: Western Africa",386908388
"2895","African, Caribbean and Pacific (ACP) Group of States",1150190575
"3046","Albania",2880913
"3930","Algeria",43053054
"4814","American Samoa",55312
"5698","Andean Community",111736664
"5849","Andorra",77146
"6733","Angola",31825299
"7617","Anguilla",14872
"8501","Antigua and Barbuda",97115
"9385","Argentina",44780675
"10269","Armenia",2957728
"11153","Aruba",106310
"12037","Asia",4601371266
"12921","Asia-Pacific Economic Cooperation (APEC)",2956245278
"13072","Asia-Pacific Group",4582136259
"13223","Association of Southeast Asian Nations (ASEAN)",660718726
"13374","Australia",25203200
"14258","Australia/New Zealand",29986262
"15142","Austria",8955108
"16026","Azerbaijan",10047719
"16910","BRIC",3157123227
"17061","BRICS",3215681494
"17212","Bahamas",389486
"18096","Bahrain",1641164
"18980","Bangladesh",163046173
"19864","Barbados",287021
"20748","Belarus",9452409
"21632","Belgium",11539326
"22516","Belize",390351
"23400","Belt-Road Initiative (BRI)",3353564722
"23551","Belt-Road Initiative: Africa",1164118622
"23702","Belt-Road Initiative: Asia",1552928523
"23853","Belt-Road Initiative: Europe",414572416
"24004","Belt-Road Initiative: Latin America and the Caribbean",206761581
"24155","Belt-Road Initiative: Pacific",15183580
"24306","Benin",11801151
"25190","Bermuda",62508
"26074","Bhutan",763094
"26958","Black Sea Economic Cooperation (BSEC)",342832245
"27109","Bolivarian Alliance for the Americas (ALBA)",58535065
"27260","Bolivia (Plurinational State of)",11513102
"28144","Bonaire, Sint Eustatius and Saba",25983
"29028","Bosnia and Herzegovina",3300998
"29912","Botswana",2303703
"30796","Brazil",211049519
"31680","British Virgin Islands",30033
"32564","Brunei Darussalam",433296
"33448","Bulgaria",7000117
"34332","Burkina Faso",20321383
"35216","Burundi",11530577
"36100","Cabo Verde",549936
"36984","Cambodia",16486542
